日期,成交额(元),成交额60日均值,成交额10日均值
2025-12-24,1897381095424.00,1897381095424.00,1897381095424.00
2025-12-25,1944059969536.00,1920720532480.00,1920720532480.00
2025-12-26,2181264357376.00,2007568474112.00,2007568474112.00
2025-12-29,2157816664064.00,2045130521600.00,2045130521600.00
2025-12-30,2161704224768.00,2068445262233.60,2068445262233.60
2025-12-31,2065922701312.00,2068024835413.33,2068024835413.33
2026-01-05,2567485642752.00,2139376379318.86,2139376379318.86
2026-01-06,2832564363264.00,2226024877312.00,2226024877312.00
2026-01-07,2881767368704.00,2298885154133.33,2298885154133.33
2026-01-08,2826533339136.00,2351649972633.60,2351649972633.60
2026-01-09,3152596920320.00,2424463331514.18,2477171555123.20
2026-01-12,3644971139072.00,2526172315477.33,2647262672076.80
2026-01-13,3699109330944.00,2616398239744.00,2799047169433.60
2026-01-14,3987219677184.00,2714314056704.00,2981987470745.60
2026-01-15,2938782361600.00,2729278610363.73,3059695284428.80
2026-01-16,3056755120128.00,2749745892224.00,3158778526310.40
2026-01-19,2732458309632.00,2748728975600.94,3175275792998.40
2026-01-20,2804427372544.00,2751823330986.67,3172462093926.40
2026-01-21,2624000753664.00,2745095826917.05,3146685432422.40
2026-01-22,2716647987200.00,2743673434931.20,3135696897228.80
2026-01-23,3118359259136.00,2761515617036.19,3132273131110.40
2026-01-26,3281016301568.00,2785129284514.91,3095877647360.00
2026-01-27,2921707038720.00,2791067447741.22,3018137418137.60
2026-01-28,2992611366912.00,2799465111040.00,2918676587110.40
2026-01-29,3259711768576.00,2817874977341.44,2950769527808.00
2026-01-30,2862748661760.00,2819600888280.62,2931368881971.20
2026-02-02,2606920108032.00,2811723822345.48,2918815061811.20
2026-02-03,2565781825536.00,2802940179602.29,2894950507110.40
2026-02-04,2503479474176.00,2792613948380.69,2882898379161.60
2026-02-05,2194515615744.00,2772677337292.80,2830685142016.00
2026-02-06,2163629531136.00,2753030633868.39,2735212169216.00
2026-02-09,2270366388224.00,2737947376192.00,2634147177881.60
2026-02-10,2124867473408.00,2719369197319.76,2554463221350.40
2026-02-11,2001202580480.00,2698246649765.65,2455322342707.20
2026-02-12,2161001787392.00,2682896796554.97,2345451344588.80
2026-02-13,1999116746752.00,2663902906282.67,2259088153088.00
2026-02-24,2218441176064.00,2651863400060.54,2220240259891.20
2026-02-25,2481203959808.00,2647372362159.16,2211782473318.40
2026-02-26,2556848480256.00,2645051236982.15,2217119373926.40
2026-02-27,2506410846208.00,2641585227212.80,2248308896972.80
2026-03-02,3046222024704.00,2651454417395.51,2336568146329.60
2026-03-03,3157990924288.00,2663514810416.76,2425330599936.00
2026-03-04,2388192028672.00,2657111955027.35,2451663055462.40
2026-03-05,2412785856512.00,2651559089152.00,2492821383065.60
2026-03-06,2219415054336.00,2641955888378.31,2498662709760.00
2026-03-09,2670882213888.00,2642584721541.57,2565839256473.60
2026-03-10,2417024464896.00,2637785567144.85,2585697585356.80
2026-03-11,2528472510464.00,2635508211797.33,2590424440422.40
2026-03-12,2460781901824.00,2631942368736.65,2580817782579.20
2026-03-13,2417507129344.00,2627653663948.80,2571927410892.80
2026-03-16,2340112299008.00,2622015597969.57,2501316438323.20
2026-03-17,2224726183936.00,2614375416930.46,2407989964288.00
2026-03-18,2061217565696.00,2603938476341.13,2375292517990.40
2026-03-19,2127472227328.00,2595115027285.33,2346761155072.00
2026-03-20,2303089013760.00,2589805463403.05,2355128551014.40
2026-03-23,2448492781568.00,2587282022656.00,2332889607782.40
2026-03-24,2096226110464.00,2578667006652.63,2300809772339.20
2026-03-25,2193050818560.00,2572018451685.52,2267267603148.80
2026-03-26,1957131714560.00,2561596642581.69,2216902584422.40
2026-03-27,1863995177984.00,2549969951505.07,2161551389286.40
2026-03-30,1927782714368.00,2550476645154.13,2120318430822.40
2026-03-31,2006123869184.00,2551511043481.60,2098458199347.20
2026-04-01,2025122722816.00,2548908682905.60,2094848715059.20
2026-04-02,1857986980864.00,2543911521518.93,2067900190412.80
2026-04-03,1669095093248.00,2535701369326.93,2004500798361.60
2026-04-07,1623779454976.00,2528332315221.33,1922029465702.40
2026-04-08,2451000128512.00,2526390889984.00,1957506867507.20
2026-04-09,2147498099712.00,2514973118924.80,1952951595622.40
2026-04-10,2337769913344.00,2505906494668.80,1991015415500.80
2026-04-13,2163260021760.00,2494851939379.20,2020941899878.40
