日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2024-01-02,1,2962.28,2972.78,2976.27,2962.28,304141793.0,345950715904.0
2024-01-03,1,2967.25,2957.11,2971.28,2953.29,285455945.0,321018396672.0
2024-01-04,1,2954.35,2965.51,2966.68,2936.63,264980924.0,296291336192.0
2024-01-05,1,2929.18,2949.82,2967.97,2916.72,301040239.0,325917016064.0
2024-01-08,1,2887.54,2923.46,2924.46,2887.54,270275055.0,290730573824.0
2024-01-09,1,2893.25,2887.11,2900.73,2878.41,262955975.0,294446366720.0
2024-01-10,1,2877.7,2886.98,2903.16,2870.42,244046526.0,281192202240.0
2024-01-11,1,2886.65,2873.8,2896.18,2867.72,267050764.0,298552524800.0
2024-01-12,1,2881.98,2880.04,2904.17,2878.88,261602931.0,282877460480.0
2024-01-15,1,2886.29,2872.56,2904.46,2869.22,244611236.0,269229735936.0
2024-01-16,1,2893.99,2881.56,2896.68,2861.13,286286714.0,300837928960.0
2024-01-17,1,2833.62,2887.29,2887.49,2833.62,261251308.0,283073937408.0
2024-01-18,1,2845.78,2822.67,2849.26,2760.98,390396855.0,400709910528.0
2024-01-19,1,2832.28,2836.97,2849.88,2822.84,266664388.0,296717058048.0
2024-01-22,1,2756.34,2826.5,2828.32,2735.37,350165758.0,359918993408.0
2024-01-23,1,2770.98,2746.89,2784.84,2724.16,308749417.0,312191320064.0
2024-01-24,1,2820.77,2782.14,2823.7,2743.4,369070600.0,357316165632.0
2024-01-25,1,2906.11,2823.83,2906.79,2821.71,442009045.0,437679816704.0
2024-01-26,1,2910.22,2897.91,2924.31,2890.48,421109084.0,402400215040.0
2024-01-29,1,2883.36,2910.61,2923.9,2883.33,410581311.0,397014728704.0
2024-01-30,1,2830.53,2866.28,2881.35,2829.25,335661226.0,329254010880.0
2024-01-31,1,2788.55,2815.5,2834.01,2782.59,377103965.0,355637002240.0
2024-02-01,1,2770.74,2773.42,2805.01,2752.78,352889185.0,337547952128.0
2024-02-02,1,2730.15,2773.29,2791.68,2666.33,426230199.0,392661139456.0
2024-02-05,1,2702.19,2716.08,2739.74,2635.09,478990292.0,424877424640.0
2024-02-06,1,2789.49,2680.48,2802.93,2669.67,502849313.0,441215057920.0
2024-02-07,1,2829.7,2791.51,2829.7,2770.53,547117439.0,495919890432.0
2024-02-08,1,2865.9,2832.49,2867.47,2827.9,531108893.0,482939731968.0
2024-02-19,1,2910.54,2886.59,2910.54,2867.71,458967704.0,442148454400.0
2024-02-20,1,2922.73,2902.88,2927.31,2887.47,350138735.0,357057495040.0
2024-02-21,1,2950.96,2906.02,2994.61,2898.05,444245463.0,450922053632.0
2024-02-22,1,2988.36,2945.45,2988.36,2944.5,354132536.0,365264207872.0
2024-02-23,1,3004.88,2992.91,3009.14,2979.97,380083270.0,398232223744.0
2024-02-26,1,2977.02,3002.12,3009.48,2967.06,409026558.0,427564892160.0
2024-02-27,1,3015.48,2966.42,3015.48,2961.15,372984687.0,412614983680.0
2024-02-28,1,2957.85,3016.26,3031.49,2957.85,544109093.0,576555253760.0
2024-02-29,1,3015.17,2943.62,3015.17,2943.62,409696374.0,452808736768.0
2024-03-01,1,3027.02,3013.82,3032.23,3003.76,379132184.0,442984235008.0
2024-03-04,1,3039.31,3026.61,3040.34,3007.68,387760002.0,461727531008.0
2024-03-05,1,3047.79,3027.1,3052.54,3022.18,383509955.0,458900471808.0
2024-03-06,1,3039.93,3041.75,3060.56,3034.35,340982739.0,401334632448.0
2024-03-07,1,3027.4,3040.21,3063.69,3023.12,377154391.0,423391264768.0
2024-03-08,1,3046.02,3026.17,3049.19,3016.9,319204392.0,370647465984.0
2024-03-11,1,3068.46,3042.62,3068.46,3035.45,361608821.0,427851350016.0
2024-03-12,1,3055.94,3068.18,3075.13,3044.86,415743914.0,494558511104.0
2024-03-13,1,3043.83,3053.34,3061.95,3031.9,365047453.0,442453950464.0
2024-03-14,1,3038.23,3042.41,3060.0,3020.64,364072290.0,436338851840.0
2024-03-15,1,3054.64,3031.52,3056.45,3023.22,360268463.0,405917696000.0
2024-03-18,1,3084.93,3057.21,3085.31,3055.92,406653508.0,485520637952.0
2024-03-19,1,3062.76,3077.98,3090.05,3062.63,384123680.0,446930649088.0
2024-03-20,1,3079.69,3058.65,3081.75,3056.65,349187729.0,407432560640.0
2024-03-21,1,3077.11,3084.41,3090.05,3069.27,366877968.0,437634629632.0
2024-03-22,1,3048.03,3070.55,3073.21,3027.76,394740486.0,456762458112.0
2024-03-25,1,3026.31,3040.5,3065.26,3026.31,387485389.0,443472347136.0
2024-03-26,1,3031.48,3026.92,3036.49,3006.26,345928787.0,396410716160.0
2024-03-27,1,2993.14,3026.81,3030.45,2993.14,343198010.0,376242896896.0
2024-03-28,1,3010.66,2988.59,3033.37,2984.12,353200026.0,392929083392.0
2024-03-29,1,3041.17,3008.38,3041.3,3008.17,334822785.0,364571197440.0
2024-04-01,1,3077.38,3049.02,3078.49,3049.02,375393640.0,420902010880.0
2024-04-02,1,3074.96,3076.88,3085.54,3063.98,367304262.0,396705824768.0
2024-04-03,1,3069.3,3074.89,3079.02,3057.4,363211380.0,392704393216.0
2024-04-08,1,3047.05,3057.33,3077.35,3045.47,402936740.0,421808406528.0
2024-04-09,1,3048.54,3044.61,3051.59,3033.21,333489965.0,347834679296.0
2024-04-10,1,3027.33,3045.96,3049.61,3013.59,348991721.0,364717834240.0
2024-04-11,1,3034.25,3013.57,3050.34,3009.9,340894392.0,364147834880.0
2024-04-12,1,3019.47,3035.58,3043.56,3014.83,334229771.0,363119181824.0
2024-04-15,1,3057.38,3013.67,3066.94,2995.54,461239244.0,459849039872.0
2024-04-16,1,3007.07,3043.55,3052.43,3005.34,448070473.0,435170803712.0
2024-04-17,1,3071.38,3008.06,3071.38,3002.06,413358368.0,416254656512.0
2024-04-18,1,3074.22,3060.03,3102.55,3057.76,416321349.0,441432080384.0
2024-04-19,1,3065.26,3060.3,3080.32,3055.06,375543855.0,396614926336.0
2024-04-22,1,3044.6,3059.06,3078.42,3042.54,357216399.0,382192254976.0
2024-04-23,1,3021.98,3038.61,3044.94,3016.52,325595128.0,348651749376.0
2024-04-24,1,3044.82,3029.4,3045.64,3019.12,305264093.0,335157362688.0
2024-04-25,1,3052.9,3037.93,3060.26,3034.65,292280148.0,315797667840.0
2024-04-26,1,3088.64,3054.98,3092.43,3054.98,439382563.0,484160077824.0
2024-04-29,1,3113.04,3086.68,3119.69,3080.59,506925445.0,554918805504.0
2024-04-30,1,3104.82,3110.16,3123.29,3104.29,440213213.0,473803227136.0
2024-05-06,1,3140.72,3132.51,3142.38,3126.77,450656899.0,511256133632.0
2024-05-07,1,3147.74,3139.66,3151.22,3133.69,379102564.0,426951671808.0
2024-05-08,1,3128.48,3141.49,3144.99,3126.17,334000320.0,367220129792.0
2024-05-09,1,3154.32,3128.16,3158.46,3128.16,360881462.0,398979072000.0
2024-05-10,1,3154.55,3158.59,3163.14,3137.15,384287495.0,406707830784.0
2024-05-13,1,3148.02,3139.48,3157.37,3126.17,397030565.0,425963094016.0
2024-05-14,1,3145.77,3148.85,3155.81,3137.61,343526194.0,370069667840.0
2024-05-15,1,3119.9,3141.25,3142.97,3117.93,321027962.0,333005619200.0
2024-05-16,1,3122.4,3127.18,3137.88,3116.16,367417361.0,377502924800.0
2024-05-17,1,3154.03,3121.71,3154.03,3116.78,383915244.0,389572558848.0
2024-05-20,1,3171.15,3156.15,3174.27,3155.99,426867280.0,448816906240.0
2024-05-21,1,3157.97,3164.68,3165.22,3148.34,335783572.0,346584186880.0
2024-05-22,1,3158.54,3157.19,3166.92,3152.46,354098082.0,364137840640.0
2024-05-23,1,3116.39,3149.88,3150.63,3110.28,353943727.0,356689477632.0
2024-05-24,1,3088.87,3110.75,3130.42,3087.79,306532279.0,322748612608.0
2024-05-27,1,3124.04,3094.14,3125.51,3091.99,319396765.0,345383763968.0
2024-05-28,1,3109.57,3122.39,3130.31,3106.36,310066974.0,320985399296.0
2024-05-29,1,3111.02,3108.03,3128.14,3100.98,289970346.0,297512173568.0
2024-05-30,1,3091.68,3103.71,3121.22,3085.38,302380762.0,318475173888.0
2024-05-31,1,3086.81,3094.76,3107.6,3086.81,276072816.0,301121896448.0
2024-06-03,1,3078.49,3085.98,3097.2,3061.28,357563362.0,367608365056.0
2024-06-04,1,3091.2,3071.32,3095.32,3063.59,309287598.0,325589696512.0
2024-06-05,1,3065.4,3086.05,3092.35,3064.74,290542344.0,299722768384.0
2024-06-06,1,3048.79,3069.44,3077.67,3040.83,369867104.0,371317014528.0
2024-06-07,1,3051.28,3053.92,3065.02,3031.04,316342484.0,318911086592.0
2024-06-11,1,3028.05,3042.13,3043.2,3013.86,310481942.0,332683378688.0
2024-06-12,1,3037.47,3025.3,3042.04,3021.31,279452106.0,312058609664.0
2024-06-13,1,3028.92,3038.09,3040.4,3022.82,297862463.0,336871030784.0
2024-06-14,1,3032.63,3020.96,3037.9,3011.58,348746753.0,396194709504.0
2024-06-17,1,3015.89,3017.72,3026.62,3012.05,295763448.0,338146885632.0
2024-06-18,1,3030.25,3015.07,3031.98,3012.52,273625999.0,317320003584.0
2024-06-19,1,3018.05,3029.1,3030.23,3015.33,261296248.0,300290277376.0
2024-06-20,1,3005.44,3015.72,3028.51,3001.77,295515907.0,324101275648.0
2024-06-21,1,2998.14,2998.24,3011.91,2985.93,255001251.0,280275386368.0
2024-06-24,1,2963.1,2982.83,2990.64,2960.13,298653884.0,318595825664.0
2024-06-25,1,2950.0,2962.77,2971.65,2935.54,273209938.0,296569307136.0
2024-06-26,1,2972.53,2943.45,2976.67,2933.33,282388409.0,276215169024.0
2024-06-27,1,2945.85,2962.7,2963.06,2944.9,270548519.0,266670981120.0
2024-06-28,1,2967.4,2940.3,2985.47,2939.98,315201432.0,313347014656.0
2024-07-01,1,2994.73,2965.25,2996.41,2961.86,297782235.0,294321881088.0
2024-07-02,1,2997.01,2992.86,3004.99,2989.47,281364683.0,282559381504.0
2024-07-03,1,2982.38,2995.66,2998.54,2978.07,246284642.0,257840300032.0
2024-07-04,1,2957.57,2984.83,2995.57,2955.29,274268789.0,259006709760.0
2024-07-05,1,2949.93,2954.37,2957.11,2920.2,272324556.0,271508930560.0
2024-07-08,1,2922.45,2939.84,2947.61,2917.23,277533424.0,270872018944.0
2024-07-09,1,2959.37,2919.57,2963.78,2904.04,315062031.0,320361103360.0
2024-07-10,1,2939.36,2949.03,2958.86,2935.33,301549456.0,306035261440.0
2024-07-11,1,2970.39,2957.25,2971.36,2947.4,328372424.0,337653170176.0
2024-07-12,1,2971.3,2965.61,2977.14,2963.3,303713014.0,302581579776.0
2024-07-15,1,2974.01,2963.85,2977.31,2959.13,268992597.0,268733333504.0
2024-07-16,1,2976.3,2963.9,2977.36,2959.67,260783630.0,279121362944.0
2024-07-17,1,2962.85,2970.81,2972.79,2957.95,282307991.0,305469095936.0
2024-07-18,1,2977.13,2951.14,2978.09,2937.9,278022665.0,301283737600.0
2024-07-19,1,2982.31,2963.51,2986.24,2955.12,280932413.0,319112445952.0
2024-07-22,1,2964.22,2978.19,2978.6,2946.56,278749559.0,316415475712.0
2024-07-23,1,2915.37,2960.5,2960.5,2915.37,296295994.0,307194036224.0
2024-07-24,1,2901.95,2909.15,2922.03,2894.29,306118853.0,288660357120.0
2024-07-25,1,2886.74,2891.89,2897.77,2872.85,274639500.0,273281630208.0
2024-07-26,1,2890.9,2886.0,2899.12,2875.4,278387536.0,275443449856.0
