日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2026-05-08,1215,49.01,48.01,49.36,46.99,7536400,364037664.0
2026-05-11,1215,47.63,49.54,49.8,47.5,4668393,225108544.0
2026-05-12,1215,46.36,47.52,48.8,46.01,7472800,349724480.0
2026-05-13,1215,44.39,45.9,46.31,43.8,7632822,344970368.0
2026-05-14,1215,39.95,44.41,44.47,39.95,8982100,370524288.0
2026-05-15,1215,40.8,38.58,41.55,37.07,11079680,433351520.0
2026-05-18,1215,41.99,41.11,42.16,40.18,6724979,279265312.0
2026-05-19,1215,44.47,42.39,44.78,42.3,6197100,268995200.0
2026-05-20,1215,45.6,45.5,46.08,44.5,7245299,328197024.0
2026-05-21,1215,41.04,45.87,46.5,41.04,10186700,438547296.0
2026-05-22,1215,42.5,41.44,45.14,39.8,11656700,505868096.0
2026-05-25,1215,44.01,42.08,44.2,41.84,5362298,231936112.0
2026-05-26,1215,42.45,43.06,43.8,41.19,4885400,207024224.0
2026-05-27,1215,41.83,42.25,42.54,40.2,3654400,150694288.0
2026-05-28,1215,40.44,42.22,42.4,40.06,4202171,171198912.0
2026-05-29,001215,39.31,40.44,40.79,38.92,29022,0.0
