日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2026-06-09,600882,18.08,17.7,18.39,17.41,9565165.0,171467968.0
2026-06-10,600882,18.95,17.95,19.23,17.93,11605400.0,216674880.0
2026-06-11,600882,18.92,18.8,19.35,18.73,7232153.0,137528992.0
2026-06-12,600882,19.51,18.79,19.71,18.5,9462071.0,182308736.0
2026-06-15,600882,19.0,19.45,19.64,18.86,7398831.0,141756912.0
2026-06-16,600882,18.55,18.86,18.97,18.41,6117959.0,113619920.0
2026-06-17,600882,18.34,18.38,18.54,18.2,3554557.0,65135128.0
2026-06-18,600882,17.49,18.14,18.27,17.34,9950200.0,175417760.0
2026-06-22,600882,18.73,17.48,19.24,17.4,17461966.0,323194816.0
2026-06-23,600882,17.78,18.49,18.96,17.71,12167901.0,221531760.0
2026-06-24,600882,17.11,17.9,18.35,17.11,10860296.0,190149632.0
2026-06-25,600882,16.88,17.03,17.44,16.51,8575130.0,144508880.0
2026-06-26,600882,16.22,16.9,17.0,16.05,8216100.0,133815392.0
2026-06-29,600882,16.58,16.11,16.85,15.78,7783700.0,127538992.0
2026-06-30,600882,15.99,16.44,16.55,15.97,6254679.0,100765824.0
2026-07-01,600882,16.46,15.92,16.57,15.75,7384376.0,119969624.0
2026-07-02,600882,16.49,16.41,16.91,16.29,5581500.0,92303371.0
