日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2024-09-02,2558,9.12,9.5,9.58,9.1,1305510117.0,468959.0
2024-09-03,2558,9.15,9.11,9.22,9.03,1300196571.0,293518.96
2024-09-04,2558,9.09,9.08,9.16,8.98,1294622747.0,196784.72
2024-09-05,2558,9.4,9.13,9.49,9.12,1303971355.0,415203.02
2024-09-06,2558,9.33,9.39,9.52,9.2,1299816119.0,279785.55
2024-09-09,2558,9.25,9.25,9.4,9.15,1298158953.0,253886.55
2024-09-10,2558,9.51,9.32,9.6,9.06,1302552324.0,367066.7
2024-09-11,2558,9.59,9.46,9.62,9.42,1302044087.0,341911.74
2024-09-12,2558,9.51,9.6,9.71,9.5,1298757582.0,255698.62
2024-09-13,2558,9.35,9.52,9.62,9.33,1294301646.0,183297.66
2024-09-18,2558,9.19,9.32,9.4,9.08,1295419466.0,208283.98
2024-09-19,2558,9.48,9.27,9.54,9.16,1298363830.0,253901.06
2024-09-20,2558,9.4,9.47,9.47,9.3,1295696084.0,208949.06
2024-09-23,2558,9.32,9.4,9.48,9.3,1294275530.0,184482.82
2024-09-24,2558,9.65,9.39,9.65,9.16,1305508274.0,461712.8
2024-09-25,2558,9.79,9.72,10.13,9.71,1308662830.0,545426.71
2024-09-26,2558,10.25,9.75,10.28,9.68,1307397818.0,498599.66
2024-09-27,2558,10.8,10.41,10.91,10.22,1313435492.0,801649.13
2024-09-30,2558,11.81,11.31,11.88,11.09,1317988789.0,1038633.03
2024-10-08,2558,12.78,12.99,12.99,11.82,1320559803.0,1219475.58
2024-10-09,2558,11.6,12.44,12.44,11.52,1317265556.0,922315.01
2024-10-10,2558,11.56,11.6,11.98,11.33,1312008471.0,643640.02
2024-10-11,2558,10.99,11.5,11.56,10.8,1309790657.0,550118.94
2024-10-14,2558,11.23,10.93,11.24,10.69,1308470027.0,483981.57
2024-10-15,2558,11.05,11.14,11.53,10.97,1310295813.0,569904.89
2024-10-16,2558,11.2,10.8,11.52,10.78,1309191688.0,510699.41
2024-10-17,2558,11.18,11.34,11.51,11.18,1307510885.0,442401.0
2024-10-18,2558,11.48,11.13,11.8,11.0,1310875546.0,597623.74
2024-10-21,2558,11.84,11.62,12.04,11.56,1312455726.0,660934.95
2024-10-22,2558,12.01,11.82,12.29,11.77,1314453105.0,757982.49
2024-10-23,2558,11.69,11.95,11.97,11.62,1309541586.0,504124.35
2024-10-24,2558,11.65,11.65,11.81,11.53,1305879406.0,384737.99
2024-10-25,2558,12.45,11.69,12.5,11.65,1315635243.0,809391.65
2024-10-28,2558,12.95,12.46,13.13,12.39,1315506490.0,760737.37
2024-10-29,2558,12.66,12.98,13.18,12.63,1313762883.0,673298.87
2024-10-30,2558,12.7,12.6,12.89,12.48,1305177293.0,337226.96
2024-10-31,2558,12.46,12.6,12.73,12.25,1309533054.0,476774.31
2024-11-01,2558,12.08,12.35,12.56,12.04,1306849894.0,391841.96
2024-11-04,2558,12.32,12.02,12.37,12.0,1302934670.0,290131.5
2024-11-05,2558,12.45,12.35,12.52,12.21,1311892811.0,603434.24
2024-11-06,2558,13.01,12.43,13.3,12.33,1316050092.0,787920.86
2024-11-07,2558,13.46,12.84,13.53,12.8,1312557958.0,596628.23
2024-11-08,2558,13.07,13.57,13.69,12.99,1311630863.0,549664.28
2024-11-11,2558,13.72,13.04,13.75,12.98,1313583052.0,637285.92
2024-11-12,2558,13.4,14.08,14.15,13.27,1316250925.0,747239.68
2024-11-13,2558,14.01,13.29,14.21,13.15,1317014954.0,782883.68
2024-11-14,2558,13.5,14.02,14.32,13.45,1313149518.0,598676.03
2024-11-15,2558,13.28,13.45,13.97,13.28,1311416861.0,525237.45
2024-11-18,2558,12.56,13.28,13.43,12.45,1312674920.0,628102.75
2024-11-19,2558,12.74,12.5,12.76,12.34,1305076804.0,337719.19
2024-11-20,2558,13.06,12.7,13.21,12.62,1308400920.0,408560.22
2024-11-21,2558,12.96,12.99,13.26,12.75,1306270631.0,354954.42
2024-11-22,2558,12.46,12.85,13.22,12.43,1310185157.0,493066.91
2024-11-25,2558,12.39,12.46,12.55,11.95,1308218174.0,430246.24
2024-11-26,2558,12.33,12.38,12.76,12.29,1304774186.0,331040.03
2024-11-27,2558,13.06,12.24,13.07,12.06,1307736773.0,403925.02
2024-11-28,2558,12.84,13.0,13.32,12.77,1307746033.0,389610.74
2024-11-29,2558,13.32,12.97,13.46,12.8,1309287783.0,440025.91
2024-12-02,2558,13.3,13.28,13.57,13.1,1311011011.0,517020.56
2024-12-03,2558,12.81,13.2,13.25,12.6,1312231159.0,597534.17
2024-12-04,2558,12.55,12.8,12.95,12.45,1305726932.0,351509.22
2024-12-05,2558,13.08,12.55,13.24,12.55,1310843713.0,523669.03
2024-12-06,2558,13.57,13.08,13.64,12.97,1314566714.0,686006.22
2024-12-09,2558,13.61,13.8,13.99,13.43,1310897681.0,498120.7
2024-12-10,2558,13.57,14.0,14.06,13.51,1313224883.0,605793.36
2024-12-11,2558,13.56,13.5,13.73,13.44,1304653381.0,302135.06
2024-12-12,2558,13.65,13.56,13.74,13.4,1309608878.0,441947.0
2024-12-13,2558,13.57,13.6,14.05,13.48,1313967832.0,637677.59
2024-12-16,2558,13.28,13.5,13.63,13.13,1308627763.0,404256.08
2024-12-17,2558,12.88,13.19,13.28,12.83,1306671135.0,365600.61
2024-12-18,2558,13.02,13.01,13.18,12.83,1308233934.0,403922.49
2024-12-19,2558,13.27,12.86,13.33,12.73,1306741664.0,364310.1
2024-12-20,2558,13.31,13.2,13.52,13.19,1304332928.0,299603.01
2024-12-23,2558,12.73,13.3,13.32,12.66,1309551498.0,464070.62
2024-12-24,2558,13.08,12.81,13.19,12.71,1305715968.0,340834.78
2024-12-25,2558,13.08,13.04,13.33,12.8,1305186010.0,326207.07
2024-12-26,2558,12.95,12.96,13.19,12.92,1300127618.0,204278.62
2024-12-27,2558,12.97,12.92,13.3,12.82,1303953772.0,295771.62
2024-12-30,2558,13.07,12.95,13.17,12.73,1302358370.0,258178.0
2024-12-31,2558,12.69,13.06,13.13,12.67,1306232668.0,359540.89
2025-01-02,2558,11.99,12.66,12.76,11.85,1309502879.0,482384.32
2025-01-03,2558,11.62,12.0,12.1,11.6,1307409691.0,420547.92
2025-01-06,2558,11.57,11.58,11.75,11.44,1301067472.0,254506.02
2025-01-07,2558,11.57,11.58,11.67,11.35,1303956095.0,337221.25
2025-01-08,2558,11.39,11.51,11.54,11.11,1303394767.0,325843.0
2025-01-09,2558,11.59,11.34,11.66,11.27,1303609366.0,326681.0
2025-01-10,2558,11.3,11.5,11.7,11.29,1301391130.0,265711.6
2025-01-13,2558,11.36,11.18,11.44,11.11,1297655603.0,200798.38
2025-01-14,2558,11.81,11.42,11.85,11.27,1304364052.0,343996.95
2025-01-15,2558,11.81,11.8,11.88,11.63,1301146947.0,252574.06
2025-01-16,2558,11.75,11.85,12.19,11.68,1302653095.0,290691.04
2025-01-17,2558,11.79,11.65,11.92,11.58,1297930555.0,196203.78
2025-01-20,2558,11.95,11.91,12.09,11.79,1298929196.0,207039.0
2025-01-21,2558,12.11,11.99,12.13,11.88,1297877350.0,191962.9
2025-01-22,2558,12.19,12.01,12.23,11.96,1301108102.0,244685.39
2025-01-23,2558,12.43,12.32,12.98,12.3,1307437948.0,394537.84
2025-01-24,2558,12.7,12.38,12.78,12.37,1301787125.0,252530.0
2025-01-27,2558,12.67,12.75,12.96,12.62,1300268918.0,211061.68
2025-02-05,2558,13.43,12.9,13.48,12.9,1311793214.0,558912.61
2025-02-06,2558,14.27,13.35,14.48,13.31,1318463060.0,895804.94
2025-02-07,2558,14.24,14.19,14.48,14.06,1314101255.0,623765.87
2025-02-10,2558,14.97,14.23,15.14,14.23,1317580451.0,772575.16
2025-02-11,2558,15.05,14.97,15.27,14.76,1310938978.0,456275.24
2025-02-12,2558,15.16,14.95,15.33,14.83,1309259029.0,382363.0
2025-02-13,2558,15.17,15.21,15.64,14.97,1315181390.0,623548.04
2025-02-14,2558,16.08,15.15,16.48,14.61,1319824171.0,927743.69
2025-02-17,2558,16.59,16.6,17.58,16.32,1322237546.0,1036042.91
2025-02-18,2558,16.26,16.98,17.38,16.18,1317968474.0,719666.56
2025-02-19,2558,16.32,16.0,16.55,15.9,1311025392.0,423918.76
2025-02-20,2558,16.16,16.3,16.49,16.03,1308666465.0,332187.08
2025-02-21,2558,16.81,16.16,16.94,15.98,1313128467.0,499281.19
2025-02-24,2558,16.57,16.73,16.86,16.3,1310429271.0,393358.75
2025-02-25,2558,15.99,16.3,16.46,15.84,1308653711.0,334333.25
2025-02-26,2558,15.5,16.18,16.23,15.39,1314546812.0,584380.42
2025-02-27,2558,15.4,15.59,15.68,15.07,1309996276.0,407348.9
2025-02-28,2558,14.64,15.23,15.38,14.53,1308953900.0,375788.57
2025-03-03,2558,15.21,14.62,15.83,14.58,1313802970.0,565790.21
2025-03-04,2558,15.18,15.09,15.59,15.0,1305071353.0,276588.15
2025-03-05,2558,15.2,15.2,15.41,15.01,1301448605.0,202438.22
2025-03-06,2558,16.41,15.4,16.69,15.31,1317403263.0,696126.9
2025-03-07,2558,16.13,16.41,16.63,16.01,1309740539.0,373544.22
2025-03-10,2558,15.58,16.1,16.1,15.43,1307361953.0,317770.61
2025-03-11,2558,15.45,15.32,15.66,15.29,1303106210.0,233555.04
2025-03-12,2558,15.75,15.55,16.04,15.31,1306440118.0,297504.31
2025-03-13,2558,15.76,15.65,15.94,15.3,1304311705.0,256622.8
2025-03-14,2558,16.15,15.72,16.59,15.47,1312560019.0,489067.94
2025-03-17,2558,16.1,16.6,17.1,15.85,1311273334.0,435725.05
2025-03-18,2558,16.05,16.1,16.54,15.82,1307700522.0,314736.6
