日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2026-06-09,600986,8.11,8.05,8.13,7.86,49208065.0,395836448.0
2026-06-10,600986,8.04,8.0,8.34,7.94,64624172.0,523023008.0
2026-06-11,600986,7.69,8.0,8.0,7.62,57209673.0,441756576.0
2026-06-12,600986,7.77,7.81,7.9,7.67,51541900.0,401999712.0
2026-06-15,600986,7.99,7.8,8.04,7.8,45130181.0,358865184.0
2026-06-16,600986,8.1,8.01,8.15,7.81,51188484.0,410406912.0
2026-06-17,600986,7.99,8.18,8.19,7.89,47998740.0,383683424.0
2026-06-18,600986,8.02,7.91,8.16,7.8,52296675.0,420582944.0
2026-06-22,600986,8.14,7.96,8.17,7.83,60285481.0,481588832.0
2026-06-23,600986,7.73,8.08,8.1,7.68,64509422.0,507794592.0
2026-06-24,600986,7.63,7.65,7.76,7.52,46732584.0,356257664.0
2026-06-25,600986,7.4,7.58,7.63,7.38,53086961.0,396169056.0
2026-06-26,600986,7.07,7.38,7.38,7.02,62225936.0,445611968.0
2026-06-29,600986,6.91,7.07,7.13,6.87,53919464.0,376126144.0
2026-06-30,600986,6.98,6.91,7.07,6.81,45704396.0,318844800.0
2026-07-01,600986,7.08,6.95,7.27,6.88,55186926.0,391635968.0
2026-07-02,600986,7.0,7.18,7.48,6.96,94388805.0,675499764.0
