日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2024-09-02,516770,0.777,0.789,0.795,0.766,185260.0,
2024-09-03,516770,0.775,0.77,0.781,0.764,141307.0,
2024-09-04,516770,0.767,0.776,0.776,0.763,103847.0,
2024-09-05,516770,0.792,0.767,0.801,0.767,201864.0,
2024-09-06,516770,0.786,0.79,0.798,0.78,107207.0,
2024-09-09,516770,0.783,0.785,0.791,0.774,117821.0,
2024-09-10,516770,0.79,0.785,0.794,0.766,203599.0,
2024-09-11,516770,0.794,0.79,0.797,0.782,138255.0,
2024-09-12,516770,0.782,0.794,0.804,0.782,211044.0,
2024-09-13,516770,0.773,0.782,0.79,0.771,143703.0,
2024-09-18,516770,0.761,0.773,0.773,0.751,118782.0,
2024-09-19,516770,0.781,0.761,0.787,0.759,172667.0,
2024-09-20,516770,0.778,0.783,0.783,0.77,143203.0,
2024-09-23,516770,0.773,0.777,0.784,0.772,116440.0,
2024-09-24,516770,0.805,0.777,0.805,0.768,192423.0,
2024-09-25,516770,0.815,0.807,0.841,0.807,231043.0,
2024-09-26,516770,0.848,0.813,0.848,0.81,232683.0,
2024-09-27,516770,0.894,0.85,0.897,0.85,145089.0,
2024-09-30,516770,0.983,0.946,0.983,0.926,288305.0,
2024-10-08,516770,1.081,1.081,1.081,0.991,325485.0,
2024-10-09,516770,0.987,1.079,1.079,0.98,252652.0,
2024-10-10,516770,0.97,0.972,1.025,0.953,170726.0,
2024-10-11,516770,0.92,0.969,0.969,0.907,139652.0,
2024-10-14,516770,0.952,0.919,0.953,0.905,150947.0,
2024-10-15,516770,0.953,0.949,0.985,0.93,167955.0,
2024-10-16,516770,0.973,0.936,0.987,0.925,169014.0,
2024-10-17,516770,0.994,0.973,1.016,0.971,258757.0,
2024-10-18,516770,1.02,0.994,1.045,0.969,253650.0,
2024-10-21,516770,1.064,1.01,1.08,1.003,293574.0,
2024-10-22,516770,1.057,1.065,1.105,1.051,282994.0,
2024-10-23,516770,1.036,1.055,1.055,1.028,158596.0,
2024-10-24,516770,1.021,1.022,1.03,1.008,117049.0,
2024-10-25,516770,1.054,1.019,1.058,1.019,156876.0,
2024-10-28,516770,1.08,1.054,1.088,1.044,239298.0,
2024-10-29,516770,1.062,1.089,1.093,1.059,204575.0,
2024-10-30,516770,1.059,1.049,1.078,1.044,166379.0,
2024-10-31,516770,1.056,1.058,1.078,1.037,160353.0,
2024-11-01,516770,1.018,1.05,1.065,1.016,200798.0,
2024-11-04,516770,1.041,1.018,1.048,1.018,126203.0,
2024-11-05,516770,1.071,1.034,1.072,1.034,230853.0,
2024-11-06,516770,1.113,1.076,1.133,1.066,313101.0,
2024-11-07,516770,1.118,1.106,1.12,1.085,273078.0,
2024-11-08,516770,1.099,1.12,1.145,1.095,311832.0,
2024-11-11,516770,1.157,1.097,1.162,1.08,266186.0,
2024-11-12,516770,1.122,1.15,1.155,1.109,294589.0,
2024-11-13,516770,1.142,1.115,1.148,1.1,260092.0,
