date,limit_up_score,median_score,volume_score,ma_score,position_score,zone,zone_adjust,dim_limit_up,dim_median,dim_trend,dim_volume,dim_position,sentiment_raw,sentiment,signal
2025-12-09,50.0,50.0,50.0,81.66666666666667,66.690132960112,强,5,0,0,20,-20,20,20,60.0,中性偏好
2025-12-10,50.0,50.0,50.0,100.0,80.0,弱,-10,0,0,-20,-20,20,-20,40.0,中性偏差
2025-12-11,50.0,50.0,50.0,100.0,20.0,弱,-10,0,0,-20,20,-20,-20,40.0,中性偏差
2025-12-12,50.0,50.0,50.0,100.0,80.0,弱,-10,0,0,-20,20,20,20,60.0,中性偏好
2025-12-15,50.0,50.0,50.0,100.0,20.0,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2025-12-16,60.8,60.8,0.0,96.66666666666667,39.568451041341234,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2025-12-17,51.851851851851855,0.0,50.0,93.33333333333333,20.0,弱,-10,0,-20,-20,-20,-20,-80,10.0,极差
2025-12-18,40.670553935860056,31.778425655976683,0.0,91.66666666666666,20.0,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2025-12-19,28.90625,0.0,25.0,86.66666666666667,80.0,弱,-10,0,-20,-20,-20,20,-40,30.0,偏差
2025-12-22,0.0,41.42661179698216,66.66666666666666,66.66666666666666,64.4955913226032,强+量,10,-20,0,20,20,20,40,70.0,良好
2025-12-23,50.4,53.2,90.0,53.333333333333336,63.76221133659904,强+量,10,0,0,20,20,20,60,80.0,极好
2025-12-24,37.11495116453793,22.614575507137495,72.72727272727273,60.0,57.89237228831358,强+量,10,0,-20,20,20,0,20,60.0,中性偏好
2025-12-25,21.064814814814838,43.75,91.66666666666666,51.66666666666667,52.66634009797066,强+量,10,-20,0,20,20,0,20,60.0,中性偏好
2025-12-26,27.241693218024597,52.84478834774693,100.0,50.0,51.529881035689364,强+量,10,0,0,20,20,0,40,70.0,良好
2025-12-29,48.8338192419825,51.16618075801749,92.85714285714286,71.66666666666667,51.082015395381354,强+量,10,0,0,20,20,0,40,70.0,良好
2025-12-30,53.2,55.08148148148148,93.33333333333333,88.33333333333333,51.126801959412234,强+量,10,0,0,20,20,0,40,70.0,良好
2025-12-31,50.78125,49.90234375,75.0,90.0,50.085514345696275,强+量,10,0,0,20,20,0,40,70.0,良好
2026-01-05,0.0,15.652350905760244,100.0,90.0,34.8076976906928,强+量,10,-20,-20,20,20,-20,-20,40.0,中性偏差
2026-01-06,0.0,35.185185185185176,100.0,91.66666666666666,80.0,强+量,10,-20,0,20,20,20,40,70.0,良好
2026-01-07,40.297419448899255,50.91121154687272,100.0,95.0,51.270824434002776,强+量,10,0,0,20,20,0,40,70.0,良好
2026-01-08,24.399999999999995,39.2,90.0,100.0,80.0,强+量,10,-20,0,20,20,20,40,70.0,良好
2026-01-09,23.474786740092853,38.13842997516468,100.0,100.0,80.0,强+量,10,-20,0,20,20,20,40,70.0,良好
2026-01-12,0.0,17.792073628850517,100.0,100.0,50.0,强+量,10,-20,-20,20,20,0,0,50.0,中性偏好
2026-01-13,50.110955864222895,78.18689898906878,100.0,100.0,50.0,强+量,10,0,20,20,20,0,60,80.0,极好
2026-01-14,28.90625,49.996383101851855,100.0,96.66666666666667,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-15,55.5296,51.0976,84.0,93.33333333333333,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-16,52.07385070550751,50.61447428311334,84.61538461538461,78.33333333333333,20.0,强+量,10,0,0,20,20,-20,20,60.0,中性偏好
2026-01-19,41.42661179698216,32.57633490829649,66.66666666666666,50.0,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-20,56.25,52.27769679300292,67.85714285714286,23.333333333333332,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-21,44.37451310016811,48.505473779162735,62.06896551724138,16.666666666666664,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-22,49.6,45.93148148148148,63.33333333333333,11.666666666666666,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-23,23.77563693733008,23.77563693733008,87.09677419354838,11.666666666666666,50.0,强+量,10,-20,-20,20,20,0,0,50.0,中性偏好
2026-01-26,49.99847412109375,83.49609375,90.625,11.666666666666666,50.0,强+量,10,0,20,20,20,0,60,80.0,极好
2026-01-27,66.92823552327684,62.88504883546206,75.75757575757575,11.666666666666666,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-01-28,44.789334418888664,77.92591084876857,79.41176470588235,15.0,50.0,强+量,10,0,20,20,20,0,60,80.0,极好
2026-01-29,39.2,64.18892128279884,88.57142857142857,11.666666666666666,50.0,强+量,10,0,0,20,20,0,40,70.0,良好
2026-01-30,85.11659807956104,50.00857338820302,66.66666666666666,11.666666666666666,80.0,强+量,10,20,0,20,20,20,80,90.0,极好
2026-02-02,92.32227113892563,100.0,48.64864864864865,8.333333333333332,20.0,强+量,10,20,20,20,20,-20,60,80.0,极好
2026-02-03,50.05831753899985,0.0,44.73684210526316,3.3333333333333335,80.0,强+量,10,0,-20,20,20,20,40,70.0,良好
2026-02-04,50.053945616075794,48.14814814814815,43.58974358974359,3.3333333333333335,80.0,弱,-10,0,0,20,-20,20,20,60.0,中性偏好
2026-02-05,80.70625,60.8,42.5,8.333333333333332,80.0,强,5,20,0,20,-20,20,40,70.0,良好
2026-02-06,50.965598293698584,49.909316463777365,39.02439024390244,11.666666666666666,80.0,强,5,0,0,20,-20,20,20,60.0,中性偏好
2026-02-09,39.4551074398013,6.808120073426188,45.23809523809524,15.0,80.0,强,5,0,-20,20,-20,20,0,50.0,中性偏好
2026-02-10,50.215704277610776,50.07860943061617,32.55813953488372,41.66666666666667,50.0,强,5,0,0,20,-20,0,0,50.0,中性偏好
2026-02-11,69.2336589030804,50.30052592036063,27.27272727272727,51.66666666666667,50.0,强,5,0,0,20,-20,0,0,50.0,中性偏好
2026-02-12,50.06858710562414,55.84252400548697,37.77777777777778,53.333333333333336,50.0,强,5,0,0,20,-20,0,0,50.0,中性偏好
2026-02-13,93.75770526834881,59.02851976658174,26.08695652173913,65.0,20.0,强,5,20,0,20,-20,-20,0,50.0,中性偏好
2026-02-24,31.071631526733004,16.808414320526268,48.93617021276596,65.0,80.0,强,5,0,-20,20,-20,20,0,50.0,中性偏好
2026-02-25,49.54788773148148,43.75,52.083333333333336,56.666666666666664,50.0,强+量,10,0,0,20,20,0,40,70.0,良好
2026-02-26,50.053124123451965,50.00042499298762,55.10204081632652,53.333333333333336,50.0,强+量,10,0,0,20,20,0,40,70.0,良好
2026-02-27,49.4676,48.3616,54.0,51.66666666666667,50.0,强+量,10,0,0,20,20,0,40,70.0,良好
2026-03-02,33.839171962518186,100.0,84.31372549019608,58.333333333333336,50.0,强+量,10,0,20,20,20,0,60,80.0,极好
2026-03-03,48.79985491579426,100.0,90.38461538461539,66.66666666666666,50.0,强+量,10,0,20,20,20,0,60,80.0,极好
2026-03-04,80.60412286652739,59.06788825674886,47.16981132075472,71.66666666666667,80.0,弱,-10,20,0,20,-20,20,40,70.0,良好
2026-03-05,50.02032210537011,26.474622770919076,48.148148148148145,63.33333333333333,80.0,强,5,0,0,20,-20,20,20,60.0,中性偏好
2026-03-06,49.98076634109692,5.258602554470308,43.63636363636363,61.66666666666667,80.0,强,5,0,-20,20,-20,20,0,50.0,中性偏好
2026-03-09,81.48688046647231,68.22157434402332,64.28571428571429,61.66666666666667,80.0,强+量,10,20,0,20,20,20,80,90.0,极好
2026-03-10,56.58475212346039,5.080645596755836,49.122807017543856,46.666666666666664,80.0,弱,-10,0,-20,20,-20,20,0,50.0,中性偏好
2026-03-11,62.98049325515602,51.75770839312805,55.172413793103445,30.0,80.0,强+量,10,0,0,20,20,20,60,80.0,极好
2026-03-12,65.58095034058984,73.69667784924457,49.152542372881356,28.333333333333332,80.0,弱,-10,0,0,20,-20,20,20,60.0,中性偏好
2026-03-13,50.78125,60.8,48.333333333333336,26.666666666666668,20.0,强,5,0,0,20,-20,-20,-20,40.0,中性偏差
2026-03-16,72.53148148148148,49.21875,41.66666666666667,23.333333333333332,80.0,强,5,0,0,20,-20,20,20,60.0,中性偏好
2026-03-17,86.45,86.45,38.333333333333336,21.666666666666668,20.0,弱,-10,20,20,-20,-20,-20,-20,40.0,中性偏差
2026-03-18,51.587731481481484,32.85000000000001,18.333333333333332,23.333333333333332,80.0,弱,-10,0,0,-20,-20,20,-20,40.0,中性偏差
2026-03-19,100.0,95.1648148148148,23.333333333333332,23.333333333333332,39.52988103568927,弱,-10,20,20,-20,-20,-20,-20,40.0,中性偏差
2026-03-20,95.1648148148148,90.65185185185183,40.0,10.0,53.38572428271516,弱,-10,20,20,-20,-20,0,0,50.0,中性偏好
2026-03-23,97.54143518518518,100.0,48.333333333333336,10.0,20.0,弱,-10,20,20,-20,-20,-20,-20,40.0,中性偏差
2026-03-24,41.68125,0.0,16.666666666666664,0.0,80.0,弱,-10,0,-20,-20,-20,20,-40,30.0,偏差
2026-03-25,39.2,9.348148148148134,28.333333333333332,0.0,60.442407277816635,弱,-10,0,-20,-20,-20,20,-40,30.0,偏差
2026-03-26,78.9351851851852,72.53148148148148,6.666666666666667,0.0,72.41161651504552,弱,-10,20,0,-20,-20,20,0,50.0,中性偏好
2026-03-27,47.535185185185185,24.399999999999995,0.0,1.6666666666666667,80.0,弱,-10,0,-20,-20,-20,20,-40,30.0,偏差
2026-03-30,50.01481481481481,49.6,3.3333333333333335,5.0,80.0,弱,-10,0,0,-20,-20,20,-20,40.0,中性偏差
2026-03-31,59.09814814814815,69.71851851851852,10.0,36.666666666666664,71.63344996501048,弱,-10,0,0,-20,-20,20,-20,40.0,中性偏差
2026-04-01,50.23148148148148,17.451851851851863,10.0,45.0,55.76501049685092,弱,-10,0,-20,-20,-20,0,-60,20.0,偏差
2026-04-02,100.0,72.53148148148148,0.0,50.0,63.95535339398184,弱,-10,20,0,-20,-20,20,0,50.0,中性偏好
2026-04-03,75.60000000000001,78.9351851851852,0.0,58.333333333333336,80.0,弱,-10,20,20,-20,-20,20,20,60.0,中性偏好
2026-04-07,32.85000000000001,32.85000000000001,0.0,60.0,80.0,弱,-10,0,0,-20,-20,20,-20,40.0,中性偏差
2026-04-08,4.835185185185196,0.0,48.333333333333336,60.0,42.762911126662026,弱,-10,-20,-20,-20,-20,0,-80,10.0,极差
2026-04-09,52.816435185185185,64.81481481481482,23.333333333333332,85.0,50.83289013296012,弱,-10,0,0,-20,-20,0,-40,30.0,偏差
2026-04-10,50.00625,44.918518518518525,40.0,90.0,45.22057382785172,弱,-10,0,0,-20,-20,0,-40,30.0,偏差
2026-04-13,50.01481481481481,49.99814814814815,26.666666666666668,96.66666666666667,44.565570328901366,弱,-10,0,0,-20,-20,0,-40,30.0,偏差
2026-04-14,50.94814814814815,47.183564814814815,46.666666666666664,100.0,33.909167249825046,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2026-04-15,50.00023148148148,50.94814814814815,53.333333333333336,100.0,33.74681595521345,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2026-04-16,40.90185185185186,37.298148148148144,45.0,100.0,25.813995801259594,弱,-10,0,0,-20,-20,-20,-60,20.0,偏差
2026-04-17,49.05185185185185,50.11851851851852,60.0,100.0,20.0,弱,-10,0,0,-20,20,-20,-20,40.0,中性偏差
