排名,股票代码,股票名称,共振次数,反弹次数,反弹率%,平均超额收益%,共振平均放量比,反弹平均放量比,共振前5日跌幅%
1,603458,,19,7,36.8,2.89,0.83,1.11,-2.46
2,002445,,16,6,37.5,2.1,0.99,1.03,-3.91
3,603488,,14,5,35.7,2.0,0.95,1.07,-2.59
4,605136,,20,6,30.0,1.66,1.99,2.37,-3.1
5,000408,,12,5,41.7,1.58,1.14,1.12,-3.97
6,000831,,18,6,33.3,1.56,1.08,1.04,-3.73
7,600331,,13,6,46.2,1.53,1.06,1.08,-3.66
8,002927,,22,8,36.4,1.51,1.0,1.03,-2.37
9,002129,,18,8,44.4,1.28,0.86,1.02,-4.35
10,601702,,18,6,33.3,1.24,1.11,1.13,-2.51
11,002893,,16,5,31.2,1.13,1.16,1.02,-2.42
12,000953,,20,6,30.0,1.13,1.2,1.26,-2.61
13,002640,,22,8,36.4,1.11,0.81,1.0,-4.51
14,000969,,18,6,33.3,0.96,1.13,1.06,-2.77
15,603006,,21,7,33.3,0.93,0.96,1.17,-2.6
16,000887,,18,6,33.3,0.92,1.09,1.16,-3.1
17,000630,,19,9,47.4,0.91,0.83,1.08,-4.43
18,600493,,16,6,37.5,0.91,1.29,1.35,-4.12
19,600459,,16,7,43.8,0.9,1.05,1.12,-3.53
20,000519,,22,8,36.4,0.88,0.93,1.03,-2.86
21,002462,,14,7,50.0,0.87,1.7,1.99,-2.21
22,601399,,21,7,33.3,0.86,1.6,1.5,-2.61
23,000036,,20,6,30.0,0.86,1.13,1.05,-2.3
24,603068,,21,9,42.9,0.85,1.18,1.22,-3.09
25,002057,,19,8,42.1,0.85,1.1,1.04,-4.91
26,600067,,22,9,40.9,0.84,1.16,1.15,-4.36
27,002577,,20,6,30.0,0.84,0.93,1.03,-3.0
28,002688,,19,7,36.8,0.82,0.95,1.03,-3.84
29,002258,,18,8,44.4,0.8,1.09,1.02,-3.3
30,002243,,21,8,38.1,0.75,1.16,1.26,-3.75
31,002643,,21,7,33.3,0.74,1.26,1.2,-2.1
32,600633,,17,8,47.1,0.72,1.01,1.03,-3.5
33,002910,,21,8,38.1,0.72,1.27,1.45,-3.56
34,001336,,23,8,34.8,0.72,1.01,1.04,-3.19
35,002279,,26,9,34.6,0.71,1.98,2.21,-2.49
36,002766,,22,7,31.8,0.7,1.14,1.04,-2.62
37,600556,,23,7,30.4,0.7,1.8,1.71,-4.62
38,603396,,16,5,31.2,0.69,1.43,1.33,-4.72
39,600730,,17,6,35.3,0.68,1.34,1.11,-2.49
40,002238,,21,7,33.3,0.68,1.33,1.55,-3.14
41,603059,,18,6,33.3,0.67,1.1,1.02,-5.49
42,600658,,24,9,37.5,0.66,1.05,1.04,-3.27
43,002196,,21,7,33.3,0.65,1.14,1.09,-3.75
44,600593,,12,4,33.3,0.64,1.11,1.02,-4.1
45,600366,,18,8,44.4,0.63,1.26,1.2,-3.33
46,002932,,16,5,31.2,0.63,1.05,1.29,-2.42
47,000068,,21,8,38.1,0.62,1.05,1.03,-3.4
48,603058,,21,8,38.1,0.6,0.97,1.05,-4.17
49,002084,,23,7,30.4,0.6,1.25,1.22,-4.73
50,600711,,19,8,42.1,0.59,1.05,1.03,-6.46
51,600980,,23,9,39.1,0.59,1.1,1.09,-3.32
52,002037,,22,8,36.4,0.58,0.99,1.06,-3.99
53,601137,,20,6,30.0,0.56,1.08,1.1,-3.08
54,603188,,23,7,30.4,0.55,0.97,1.02,-3.86
55,600293,,20,6,30.0,0.55,1.11,1.17,-2.46
56,000970,,17,7,41.2,0.54,1.25,1.09,-4.19
57,000620,,20,7,35.0,0.54,1.06,1.02,-4.29
58,002094,,20,6,30.0,0.54,1.45,1.65,-3.59
59,603232,,23,7,30.4,0.53,1.2,1.15,-4.2
60,000796,,20,6,30.0,0.53,1.58,1.52,-3.87
61,002295,,22,8,36.4,0.52,1.5,1.72,-3.29
62,603260,,19,7,36.8,0.51,1.08,1.05,-5.19
63,603072,,20,8,40.0,0.49,1.17,1.07,-3.31
64,605180,,19,7,36.8,0.49,0.92,1.03,-3.87
65,601113,,20,7,35.0,0.49,1.11,1.05,-3.68
66,603650,,20,7,35.0,0.49,1.22,1.05,-2.03
67,002909,,23,10,43.5,0.48,1.23,1.27,-3.9
68,002530,,22,8,36.4,0.48,1.27,1.33,-4.12
69,603073,,23,8,34.8,0.48,0.98,1.02,-2.92
70,002114,,20,7,35.0,0.47,1.16,1.02,-5.62
71,002292,,23,7,30.4,0.47,1.58,1.61,-3.23
72,600577,,21,9,42.9,0.46,1.28,1.26,-2.73
73,002090,,22,9,40.9,0.46,1.06,1.1,-4.3
74,002674,,20,7,35.0,0.46,1.43,1.1,-2.44
75,603181,,18,6,33.3,0.46,1.14,1.0,-2.31
76,603676,,18,6,33.3,0.46,0.95,1.02,-3.81
77,605577,,23,7,30.4,0.46,1.11,1.1,-3.04
78,600287,,18,6,33.3,0.45,1.05,1.07,-3.41
79,600571,,20,6,30.0,0.44,1.45,1.65,-3.99
80,603617,,22,7,31.8,0.43,1.18,1.09,-3.42
81,600281,,19,6,31.6,0.43,1.13,1.03,-4.93
82,001202,,23,9,39.1,0.42,1.75,1.42,-3.46
83,000705,,21,8,38.1,0.42,0.95,1.06,-3.83
84,000910,,14,5,35.7,0.42,1.14,1.19,-3.58
85,603307,,20,7,35.0,0.42,1.1,1.17,-2.7
86,002363,,23,8,34.8,0.42,1.25,1.09,-4.99
87,603161,,23,7,30.4,0.42,1.24,1.17,-3.54
88,603528,,24,8,33.3,0.41,1.57,1.48,-3.86
89,002177,,18,6,33.3,0.41,1.08,1.04,-4.01
90,002492,,21,7,33.3,0.41,1.14,1.21,-2.98
91,002180,,22,7,31.8,0.41,1.11,1.3,-4.78
92,002571,,20,6,30.0,0.41,1.21,1.11,-2.33
93,002835,,24,8,33.3,0.4,1.27,1.56,-3.69
94,603208,,20,9,45.0,0.38,1.1,1.14,-2.49
95,000565,,21,7,33.3,0.38,1.39,1.24,-3.69
96,002551,,18,6,33.3,0.38,1.1,1.02,-4.74
97,603888,,22,7,31.8,0.38,1.42,1.54,-3.13
98,603679,,18,7,38.9,0.37,1.14,1.08,-4.01
99,603700,,23,7,30.4,0.37,0.93,1.01,-2.97
100,601118,,15,5,33.3,0.36,1.08,1.06,-5.66
