date,up,down,flat,limit_up,limit_down,limit_up_main,limit_down_main,limit_up_other,limit_down_other,median_change
2025-11-24,4008,1048,101,66,23,59,23,7,0,1.35
2025-11-25,4064,948,142,78,7,68,7,10,0,0.97
2025-11-26,1630,3376,145,67,5,57,5,10,0,-0.62
2025-11-27,2728,2232,191,54,8,44,8,10,0,0.14
2025-11-28,3980,1063,106,69,3,65,3,4,0,0.93
2025-12-01,3135,1852,161,64,4,56,4,8,0,0.40
2025-12-02,1508,3494,149,47,4,43,2,4,2,-0.75
2025-12-03,1398,3642,116,49,12,48,11,1,1,-0.89
2025-12-04,1407,3644,104,38,14,33,14,5,0,-0.89
2025-12-05,4130,949,73,72,3,63,3,9,0,1.15
2025-12-08,3186,1809,160,74,2,67,2,7,0,0.44
2025-12-09,1280,3801,75,53,7,48,7,5,0,-0.95
2025-12-10,2335,2663,154,57,3,54,3,3,0,-0.11
2025-12-11,752,4374,30,31,21,27,20,4,1,-1.77
2025-12-12,2535,2479,144,77,16,68,16,9,0,0.00
2025-12-15,2192,2810,155,59,10,55,9,4,1,-0.27
2025-12-16,872,4238,48,40,18,38,18,2,0,-1.76
2025-12-17,3475,1506,178,49,21,46,21,3,0,0.61
2025-12-18,2748,2231,183,59,4,54,3,5,1,0.17
2025-12-19,4236,860,65,72,2,69,2,3,0,1.23
2025-12-22,2835,2134,189,83,8,75,7,8,1,0.19
2025-12-23,1475,3604,81,54,9,49,8,5,1,-0.76
2025-12-24,3986,1007,171,75,5,68,5,7,0,0.85
2025-12-25,3609,1362,196,80,0,74,0,6,0,0.56
2025-12-26,1788,3210,168,80,1,73,1,7,0,-0.47
2025-12-29,1950,3092,126,73,17,65,16,8,1,-0.44
2025-12-30,1728,3310,129,54,13,50,12,4,1,-0.52
2025-12-31,2358,2610,202,56,8,51,8,5,0,-0.05
2026-01-05,3957,1113,101,109,11,78,11,31,0,1.18
2026-01-06,3843,1201,128,118,1,100,1,18,0,0.79
2026-01-07,2078,3004,92,80,3,65,2,15,1,-0.39
2026-01-08,3528,1519,126,93,4,80,4,13,0,0.68
2026-01-09,3713,1277,182,98,1,83,1,15,0,0.70
2026-01-12,3870,1169,133,179,3,128,3,51,0,1.18
2026-01-13,1520,3547,98,65,51,54,51,11,0,-1.05
2026-01-14,2564,2492,111,101,18,82,18,19,0,0.00
2026-01-15,2165,2901,103,56,63,52,53,4,10,-0.33
2026-01-16,2252,2807,113,57,52,48,50,9,2,-0.30
2026-01-19,3408,1666,99,86,25,81,25,5,0,0.83
