日,移动VWAP
2026-04-16,4063.172
2026-04-17,4061.14
2026-04-20,4060.398
2026-04-21,4059.671
2026-04-22,4059.323
2026-04-23,4058.994
2026-04-24,4058.27
2026-04-27,4057.449
2026-04-28,4056.231
2026-04-29,4054.921
2026-04-30,4054.332
2026-05-06,4054.0
2026-05-07,4053.756
2026-05-08,4054.698
2026-05-11,4058.07
2026-05-12,4060.266
2026-05-13,4062.822
2026-05-14,4065.529
2026-05-15,4067.114
2026-05-18,4067.432
2026-05-19,4067.936
2026-05-20,4068.299
2026-05-21,4068.33
2026-05-22,4068.468
2026-05-25,4068.907
2026-05-26,4068.557
2026-05-27,4068.002
2026-05-28,4066.844
2026-05-29,4064.834
2026-06-01,4062.918
2026-06-02,4062.599
2026-06-03,4062.144
2026-06-04,4061.257
2026-06-05,4060.397
2026-06-08,4057.775
2026-06-09,4055.486
2026-06-10,4052.974
2026-06-11,4050.78
2026-06-12,4049.937
2026-06-15,4050.159
2026-06-16,4050.826
2026-06-17,4052.229
2026-06-18,4054.308
2026-06-22,4060.503
2026-06-23,4065.369
2026-06-24,4068.677
2026-06-25,4072.246
2026-06-26,4074.389
2026-06-29,4076.564
2026-06-30,4079.309
2026-07-01,4081.945
2026-07-02,4083.614
2026-07-03,4085.517
2026-07-06,4087.18
2026-07-07,4087.908
2026-07-08,4088.289
2026-07-09,4088.462
2026-07-10,4088.898
2026-07-13,4087.573
2026-07-14,4086.058
