日,移动VWAP
2026-02-24,25.465
2026-02-25,25.432
2026-02-26,25.398
2026-02-27,25.359
2026-03-02,25.291
2026-03-03,25.217
2026-03-04,25.125
2026-03-05,25.007
2026-03-06,24.916
2026-03-09,24.843
2026-03-10,24.795
2026-03-11,24.745
2026-03-12,24.699
2026-03-13,24.635
2026-03-16,24.585
2026-03-17,24.532
2026-03-18,24.45
2026-03-19,24.323
2026-03-20,24.208
2026-03-23,23.995
2026-03-24,23.83
2026-03-25,23.575
2026-03-26,23.353
2026-03-27,23.04
2026-03-30,22.823
2026-03-31,22.676
2026-04-01,22.526
2026-04-02,22.296
2026-04-03,22.131
2026-04-07,21.864
2026-04-08,21.68
2026-04-09,21.574
2026-04-10,21.448
2026-04-13,21.357
2026-04-14,21.265
2026-04-15,21.153
2026-04-16,21.05
2026-04-17,20.959
2026-04-20,20.877
2026-04-21,20.83
2026-04-22,20.784
2026-04-23,20.74
2026-04-24,20.692
2026-04-27,20.659
2026-04-28,20.519
2026-04-29,20.427
2026-04-30,20.371
2026-05-06,20.341
2026-05-07,20.291
2026-05-08,20.264
2026-05-11,20.225
2026-05-12,20.182
2026-05-13,20.126
2026-05-14,20.05
2026-05-15,19.465
2026-05-18,19.542
2026-05-19,19.536
2026-05-20,19.526
2026-05-21,19.447
2026-05-22,19.17
