日,移动VWAP
2026-04-16,38.453
2026-04-17,38.201
2026-04-20,37.965
2026-04-21,37.74
2026-04-22,37.456
2026-04-23,37.126
2026-04-24,36.804
2026-04-27,36.503
2026-04-28,36.213
2026-04-29,35.984
2026-04-30,35.758
2026-05-06,35.588
2026-05-07,35.433
2026-05-08,35.282
2026-05-11,35.128
2026-05-12,34.999
2026-05-13,34.872
2026-05-14,34.748
2026-05-15,34.61
2026-05-18,34.466
2026-05-19,34.324
2026-05-20,34.174
2026-05-21,34.016
2026-05-22,33.861
2026-05-25,33.739
2026-05-26,33.625
2026-05-27,33.524
2026-05-28,33.437
2026-05-29,33.362
2026-06-01,33.281
2026-06-02,33.215
2026-06-03,33.148
2026-06-04,33.09
2026-06-05,33.052
2026-06-08,32.977
2026-06-09,32.865
2026-06-10,32.769
2026-06-11,32.668
2026-06-12,32.575
2026-06-15,32.48
2026-06-16,32.398
2026-06-17,32.368
2026-06-18,32.35
2026-06-22,32.37
2026-06-23,32.401
2026-06-24,32.387
2026-06-25,32.382
2026-06-26,32.376
2026-06-29,32.397
2026-06-30,32.402
2026-07-01,32.318
2026-07-02,32.205
2026-07-03,32.114
2026-07-06,32.05
2026-07-07,31.89
2026-07-08,31.792
2026-07-09,31.615
2026-07-10,31.523
2026-07-13,31.494
2026-07-14,31.411
