排名,股票代码,股票名称,60日背离次数,60日上涨概率%,120日背离次数,120日上涨概率%,背离平均放量比,最新RSI(14),近5日涨幅%,样本不足
1,601658,601658,9,88.9,14,71.4,1.09,37.1,0.41,
2,600012,600012,12,83.3,21,76.2,1.02,64.7,1.67,
3,600238,600238,15,80.0,29,62.1,1.08,43.3,-1.56,
4,601963,601963,13,76.9,21,57.1,1.1,70.0,-1.05,
5,600791,600791,20,75.0,32,75.0,1.08,59.8,6.89,
6,002528,002528,16,75.0,29,62.1,1.11,43.5,-4.39,
7,603125,603125,23,73.9,39,64.1,1.11,57.6,-2.93,
8,600381,600381,15,73.3,24,62.5,1.36,74.0,13.84,
9,600566,600566,15,73.3,25,76.0,1.11,39.4,-4.48,
10,600970,600970,11,72.7,29,62.1,1.07,30.6,2.72,
11,601187,601187,11,72.7,19,52.6,1.05,30.7,-4.65,
12,002051,002051,14,71.4,30,53.3,1.1,35.6,-3.73,
13,605298,605298,17,70.6,33,54.5,1.22,42.6,-2.62,
14,002199,002199,17,70.6,34,55.9,1.25,74.6,21.36,
15,002913,002913,17,70.6,32,56.2,1.07,40.3,3.81,
16,600023,600023,20,70.0,33,63.6,1.02,55.0,6.83,
17,603083,603083,20,70.0,33,54.5,1.02,55.0,13.31,
18,603683,603683,20,70.0,34,55.9,1.11,42.9,1.84,
19,605296,605296,10,70.0,26,53.8,1.01,37.0,-7.16,
20,600000,600000,13,69.2,22,54.5,1.06,56.0,3.95,
21,002569,002569,13,69.2,30,60.0,1.11,60.2,4.73,
22,002948,002948,13,69.2,23,73.9,1.0,37.1,-3.87,
23,600744,600744,16,68.8,33,66.7,1.05,49.9,14.21,
24,601330,601330,16,68.8,29,65.5,1.06,56.3,7.36,
25,603950,603950,16,68.8,30,63.3,1.11,60.2,14.07,
26,600886,600886,12,66.7,24,54.2,1.05,56.2,3.99,
27,601857,601857,9,66.7,21,52.4,1.01,41.8,-4.34,
28,000539,000539,18,66.7,37,67.6,1.01,62.8,25.31,
29,001268,001268,18,66.7,30,56.7,1.06,58.8,2.9,
30,002034,002034,18,66.7,34,61.8,1.02,64.6,-2.97,
31,002718,002718,12,66.7,29,62.1,1.1,71.7,14.72,
32,002803,002803,18,66.7,35,51.4,1.04,50.8,2.91,
33,600400,600400,20,65.0,35,54.3,1.23,61.9,2.98,
34,603527,603527,20,65.0,38,55.3,1.08,57.5,17.14,
35,002384,002384,20,65.0,37,56.8,1.04,54.1,5.81,
36,002730,002730,20,65.0,42,66.7,1.08,44.1,4.74,
37,600007,600007,17,64.7,32,56.2,1.08,42.9,0.76,
38,603009,603009,17,64.7,34,58.8,1.11,52.7,-6.07,
39,603112,603112,17,64.7,31,54.8,1.02,33.5,-6.46,
40,600060,600060,14,64.3,31,41.9,1.0,60.3,4.65,
41,603198,603198,14,64.3,25,60.0,1.04,38.9,-3.54,
42,605196,605196,14,64.3,31,64.5,1.09,39.7,-0.2,
43,002382,002382,14,64.3,32,59.4,1.22,34.1,-0.61,
44,001339,001339,22,63.6,41,56.1,1.05,56.3,-1.5,
45,603203,603203,19,63.2,33,60.6,1.01,78.1,27.01,
46,002975,002975,19,63.2,33,48.5,1.18,55.5,21.52,
47,600323,600323,16,62.5,28,57.1,1.16,37.3,-2.78,
48,600522,600522,16,62.5,38,60.5,1.01,49.2,-3.29,
49,601222,601222,16,62.5,32,53.1,1.04,56.3,2.21,
50,603163,603163,16,62.5,28,53.6,1.01,57.5,-2.55,
51,603213,603213,16,62.5,32,56.2,1.06,64.2,5.57,
52,603373,603373,16,62.5,31,45.2,1.05,64.4,0.0,
53,603389,603389,16,62.5,30,63.3,1.01,33.3,-6.53,
54,000016,000016,16,62.5,30,43.3,1.09,69.5,6.13,
55,603458,603458,21,61.9,39,48.7,1.07,60.0,3.47,
56,002348,002348,21,61.9,41,58.5,1.02,63.4,9.92,
57,002937,002937,21,61.9,36,55.6,1.09,38.4,-2.83,
58,601199,601199,13,61.5,29,62.1,1.13,38.8,1.71,
59,000065,000065,13,61.5,33,45.5,1.23,33.9,-1.31,
60,002128,002128,13,61.5,27,66.7,1.0,41.0,2.1,
61,603378,603378,18,61.1,33,51.5,1.14,63.2,-1.52,
62,603880,603880,23,60.9,41,65.9,1.04,59.9,2.84,
63,600726,600726,20,60.0,35,57.1,1.0,63.1,48.79,
64,601208,601208,20,60.0,34,50.0,1.05,65.0,14.16,
65,603283,603283,20,60.0,35,54.3,1.02,72.4,1.01,
66,002068,002068,20,60.0,35,62.9,1.13,49.5,-4.49,
67,002512,002512,15,60.0,31,54.8,1.16,55.9,-3.66,
